lat,lon,date,Rad,Precip,Hum,Temp,WindSpeed
4.71035,-74.03042,01/01/2021,14.7,5.6,87.63,15.67,1.39
4.71035,-74.03042,02/01/2021,15.42,6,90.99,15.74,1.52
4.71035,-74.03042,03/01/2021,15.49,6.94,90.16,15.89,0.85
4.71035,-74.03042,04/01/2021,21.57,14.34,89.27,15.56,0.41
4.71035,-74.03042,05/01/2021,20.3,0.91,82.35,15.09,0.77
4.71035,-74.03042,06/01/2021,19.02,3.93,79.47,15.17,0.84
4.71035,-74.03042,07/01/2021,17.3,3.95,87.85,14.84,1.16
4.71035,-74.03042,08/01/2021,14,1.98,89.1,14.45,1.1
4.71035,-74.03042,09/01/2021,14.38,2.61,89.38,13.84,1.24
4.71035,-74.03042,10/01/2021,14.7,6.17,89.46,14.24,1.61
4.71035,-74.03042,11/01/2021,13.7,3.12,89.2,14.63,1.55
4.71035,-74.03042,12/01/2021,21.03,0.44,86.58,14.64,1.65
4.71035,-74.03042,13/01/2021,20.25,0.63,78.85,14.34,1.25
4.71035,-74.03042,14/01/2021,21.38,0,78.08,15.73,1.19
4.71035,-74.03042,15/01/2021,20.81,0,75.01,16.16,0.85
4.71035,-74.03042,16/01/2021,21.94,0,76.1,16.24,0.56
4.71035,-74.03042,17/01/2021,19.8,0,79.24,16.01,1.17
4.71035,-74.03042,18/01/2021,21.13,0,76.05,15.27,1.12
4.71035,-74.03042,19/01/2021,20.84,0.01,77.19,14.93,1.25
4.71035,-74.03042,20/01/2021,20.19,0.1,79.34,14.48,1.58
4.71035,-74.03042,21/01/2021,17.29,9.01,81.75,15.16,1.12
4.71035,-74.03042,22/01/2021,15.91,8.99,87.77,15.48,1.31
4.71035,-74.03042,23/01/2021,13.53,8,89.44,15.45,1.4
4.71035,-74.03042,24/01/2021,14.31,7.62,88.88,15.56,1.75
4.71035,-74.03042,25/01/2021,14.33,4.68,87.76,15.13,1.83
4.71035,-74.03042,26/01/2021,16.89,1.69,87.93,15.1,1.48
4.71035,-74.03042,27/01/2021,20,4.7,86.28,15.47,1.42
4.71035,-74.03042,28/01/2021,19.16,1.16,82.07,15.54,1.22
4.71035,-74.03042,29/01/2021,22.61,0,79.6,14.95,1.29
4.71035,-74.03042,30/01/2021,23.53,0.05,79.48,14.25,1.73
4.71035,-74.03042,31/01/2021,23.53,0,84.02,15.9,2.05
4.71035,-74.03042,01/02/2021,15.64,9.27,87.15,16.04,1.52
4.71035,-74.03042,02/02/2021,16.76,3.11,83.63,15.23,1.52
4.71035,-74.03042,03/02/2021,19.43,0.25,82.55,15.88,1.78
4.71035,-74.03042,04/02/2021,18.82,3.64,85.58,16.13,1.68
4.71035,-74.03042,05/02/2021,15.84,6.06,86.83,16.46,1.41
4.71035,-74.03042,06/02/2021,17.33,17.51,87.52,15.95,1.22
4.71035,-74.03042,07/02/2021,20.01,1.25,85.81,16.64,1.28
4.71035,-74.03042,08/02/2021,17.77,3.86,83.41,16.17,1.21
4.71035,-74.03042,09/02/2021,14.88,1.07,85.6,16.53,0.86
4.71035,-74.03042,10/02/2021,18.7,4.79,88.22,16.22,0.31
4.71035,-74.03042,11/02/2021,21.24,2.56,82.46,16.36,0.68
4.71035,-74.03042,12/02/2021,14.82,0.21,80.85,16.1,0.96
4.71035,-74.03042,13/02/2021,14.35,0.35,84.28,16.01,1.25
4.71035,-74.03042,14/02/2021,16.64,0.22,86.41,16.54,0.96
4.71035,-74.03042,15/02/2021,14.45,16.47,80.39,15.94,0.73
4.71035,-74.03042,16/02/2021,20.21,1.85,80.94,16.05,0.63
4.71035,-74.03042,17/02/2021,19.3,0,81.47,16.71,0.41
4.71035,-74.03042,18/02/2021,15.18,0.3,82.96,16.18,0.5
4.71035,-74.03042,19/02/2021,13.96,1.32,80.85,14.7,0.69
4.71035,-74.03042,20/02/2021,15.63,0.98,81.59,15.68,0.43
4.71035,-74.03042,21/02/2021,15.46,0,84.8,15.79,0.51
4.71035,-74.03042,22/02/2021,10.82,1.82,87.08,15.8,1.24
