Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,4,2021,20164,ALL,ALL,Hombre,0TO4
1,4,2021,23054,ALL,ALL,Hombre,10TO14
1,4,2021,131,ALL,ALL,Hombre,100UP
1,4,2021,26429,ALL,ALL,Hombre,15TO19
1,4,2021,35100,ALL,ALL,Hombre,20TO24
1,4,2021,40256,ALL,ALL,Hombre,25TO29
1,4,2021,36816,ALL,ALL,Hombre,30TO34
1,4,2021,32100,ALL,ALL,Hombre,35TO39
1,4,2021,27001,ALL,ALL,Hombre,40TO44
1,4,2021,23101,ALL,ALL,Hombre,45TO49
1,4,2021,22474,ALL,ALL,Hombre,5TO9
1,4,2021,22859,ALL,ALL,Hombre,50TO54
1,4,2021,22629,ALL,ALL,Hombre,55TO59
1,4,2021,18487,ALL,ALL,Hombre,60TO64
1,4,2021,12879,ALL,ALL,Hombre,65TO69
1,4,2021,8981,ALL,ALL,Hombre,70TO74
1,4,2021,5802,ALL,ALL,Hombre,75TO79
1,4,2021,3772,ALL,ALL,Hombre,80TO84
1,4,2021,2134,ALL,ALL,Hombre,85TO89
1,4,2021,891,ALL,ALL,Hombre,90TO94
1,4,2021,315,ALL,ALL,Hombre,95TO99
1,4,2021,19444,ALL,ALL,Mujer,0TO4
1,4,2021,22933,ALL,ALL,Mujer,10TO14
1,4,2021,224,ALL,ALL,Mujer,100UP
1,4,2021,26224,ALL,ALL,Mujer,15TO19
1,4,2021,35262,ALL,ALL,Mujer,20TO24
1,4,2021,40396,ALL,ALL,Mujer,25TO29
1,4,2021,37024,ALL,ALL,Mujer,30TO34
1,4,2021,33271,ALL,ALL,Mujer,35TO39
1,4,2021,30508,ALL,ALL,Mujer,40TO44
1,4,2021,27120,ALL,ALL,Mujer,45TO49
1,4,2021,21901,ALL,ALL,Mujer,5TO9
1,4,2021,28609,ALL,ALL,Mujer,50TO54
1,4,2021,28869,ALL,ALL,Mujer,55TO59
1,4,2021,24161,ALL,ALL,Mujer,60TO64
1,4,2021,18312,ALL,ALL,Mujer,65TO69
1,4,2021,13208,ALL,ALL,Mujer,70TO74
1,4,2021,9421,ALL,ALL,Mujer,75TO79
1,4,2021,6156,ALL,ALL,Mujer,80TO84
1,4,2021,3449,ALL,ALL,Mujer,85TO89
1,4,2021,1619,ALL,ALL,Mujer,90TO94
1,4,2021,614,ALL,ALL,Mujer,95TO99
1,4,2022,18634,ALL,ALL,Hombre,0TO4
1,4,2022,22737,ALL,ALL,Hombre,10TO14
1,4,2022,132,ALL,ALL,Hombre,100UP
1,4,2022,25652,ALL,ALL,Hombre,15TO19
1,4,2022,33523,ALL,ALL,Hombre,20TO24
1,4,2022,40233,ALL,ALL,Hombre,25TO29
1,4,2022,37707,ALL,ALL,Hombre,30TO34
1,4,2022,32618,ALL,ALL,Hombre,35TO39
1,4,2022,28011,ALL,ALL,Hombre,40TO44
1,4,2022,23460,ALL,ALL,Hombre,45TO49
1,4,2022,22248,ALL,ALL,Hombre,5TO9
1,4,2022,22471,ALL,ALL,Hombre,50TO54
1,4,2022,22950,ALL,ALL,Hombre,55TO59
1,4,2022,19196,ALL,ALL,Hombre,60TO64
1,4,2022,13649,ALL,ALL,Hombre,65TO69
1,4,2022,9504,ALL,ALL,Hombre,70TO74
1,4,2022,6146,ALL,ALL,Hombre,75TO79
1,4,2022,3891,ALL,ALL,Hombre,80TO84
1,4,2022,2254,ALL,ALL,Hombre,85TO89
1,4,2022,1001,ALL,ALL,Hombre,90TO94
1,4,2022,365,ALL,ALL,Hombre,95TO99
1,4,2022,18038,ALL,ALL,Mujer,0TO4
1,4,2022,22592,ALL,ALL,Mujer,10TO14
1,4,2022,225,ALL,ALL,Mujer,100UP
1,4,2022,25453,ALL,ALL,Mujer,15TO19
1,4,2022,33631,ALL,ALL,Mujer,20TO24
1,4,2022,40262,ALL,ALL,Mujer,25TO29
1,4,2022,37690,ALL,ALL,Mujer,30TO34
1,4,2022,33374,ALL,ALL,Mujer,35TO39
1,4,2022,31074,ALL,ALL,Mujer,40TO44
1,4,2022,27476,ALL,ALL,Mujer,45TO49
1,4,2022,21652,ALL,ALL,Mujer,5TO9
1,4,2022,27833,ALL,ALL,Mujer,50TO54
1,4,2022,28952,ALL,ALL,Mujer,55TO59
1,4,2022,24862,ALL,ALL,Mujer,60TO64
1,4,2022,19221,ALL,ALL,Mujer,65TO69
1,4,2022,13870,ALL,ALL,Mujer,70TO74
1,4,2022,10022,ALL,ALL,Mujer,75TO79
1,4,2022,6546,ALL,ALL,Mujer,80TO84
1,4,2022,3699,ALL,ALL,Mujer,85TO89
1,4,2022,1738,ALL,ALL,Mujer,90TO94
1,4,2022,670,ALL,ALL,Mujer,95TO99
1,4,2023,16871,ALL,ALL,Hombre,0TO4
1,4,2023,22405,ALL,ALL,Hombre,10TO14
1,4,2023,133,ALL,ALL,Hombre,100UP
1,4,2023,24937,ALL,ALL,Hombre,15TO19
1,4,2023,32170,ALL,ALL,Hombre,20TO24
1,4,2023,39965,ALL,ALL,Hombre,25TO29
1,4,2023,38387,ALL,ALL,Hombre,30TO34
1,4,2023,33402,ALL,ALL,Hombre,35TO39
1,4,2023,28829,ALL,ALL,Hombre,40TO44
1,4,2023,24107,ALL,ALL,Hombre,45TO49
1,4,2023,22268,ALL,ALL,Hombre,5TO9
1,4,2023,22305,ALL,ALL,Hombre,50TO54
1,4,2023,22895,ALL,ALL,Hombre,55TO59
1,4,2023,20066,ALL,ALL,Hombre,60TO64
1,4,2023,14407,ALL,ALL,Hombre,65TO69
1,4,2023,9934,ALL,ALL,Hombre,70TO74
1,4,2023,6518,ALL,ALL,Hombre,75TO79
1,4,2023,4036,ALL,ALL,Hombre,80TO84
1,4,2023,2364,ALL,ALL,Hombre,85TO89
1,4,2023,1063,ALL,ALL,Hombre,90TO94
1,4,2023,366,ALL,ALL,Hombre,95TO99
1,4,2023,16316,ALL,ALL,Mujer,0TO4
1,4,2023,22383,ALL,ALL,Mujer,10TO14
1,4,2023,228,ALL,ALL,Mujer,100UP
1,4,2023,24769,ALL,ALL,Mujer,15TO19
1,4,2023,32402,ALL,ALL,Mujer,20TO24
1,4,2023,39656,ALL,ALL,Mujer,25TO29
1,4,2023,38322,ALL,ALL,Mujer,30TO34
1,4,2023,33849,ALL,ALL,Mujer,35TO39
1,4,2023,31707,ALL,ALL,Mujer,40TO44
1,4,2023,27847,ALL,ALL,Mujer,45TO49
1,4,2023,21711,ALL,ALL,Mujer,5TO9
1,4,2023,27329,ALL,ALL,Mujer,50TO54
1,4,2023,28759,ALL,ALL,Mujer,55TO59
1,4,2023,25770,ALL,ALL,Mujer,60TO64
1,4,2023,20014,ALL,ALL,Mujer,65TO69
1,4,2023,14625,ALL,ALL,Mujer,70TO74
1,4,2023,10488,ALL,ALL,Mujer,75TO79
1,4,2023,6861,ALL,ALL,Mujer,80TO84
1,4,2023,3985,ALL,ALL,Mujer,85TO89
1,4,2023,1849,ALL,ALL,Mujer,90TO94
1,4,2023,721,ALL,ALL,Mujer,95TO99
1,4,2024,15529,ALL,ALL,Hombre,0TO4
1,4,2024,22269,ALL,ALL,Hombre,10TO14
1,4,2024,103,ALL,ALL,Hombre,100UP
1,4,2024,24424,ALL,ALL,Hombre,15TO19
1,4,2024,30673,ALL,ALL,Hombre,20TO24
1,4,2024,39377,ALL,ALL,Hombre,25TO29
1,4,2024,39099,ALL,ALL,Hombre,30TO34
1,4,2024,34229,ALL,ALL,Hombre,35TO39
1,4,2024,30097,ALL,ALL,Hombre,40TO44
1,4,2024,24881,ALL,ALL,Hombre,45TO49
1,4,2024,21461,ALL,ALL,Hombre,5TO9
1,4,2024,22317,ALL,ALL,Hombre,50TO54
1,4,2024,23009,ALL,ALL,Hombre,55TO59
1,4,2024,20646,ALL,ALL,Hombre,60TO64
1,4,2024,15440,ALL,ALL,Hombre,65TO69
1,4,2024,10514,ALL,ALL,Hombre,70TO74
1,4,2024,6957,ALL,ALL,Hombre,75TO79
1,4,2024,4154,ALL,ALL,Hombre,80TO84
1,4,2024,2373,ALL,ALL,Hombre,85TO89
