Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,4,2026,13785,ALL,ALL,MALE,0TO4
1,4,2026,21975,ALL,ALL,MALE,10TO14
1,4,2026,98,ALL,ALL,MALE,100UP
1,4,2026,23529,ALL,ALL,MALE,15TO19
1,4,2026,28806,ALL,ALL,MALE,20TO24
1,4,2026,37239,ALL,ALL,MALE,25TO29
1,4,2026,40397,ALL,ALL,MALE,30TO34
1,4,2026,36178,ALL,ALL,MALE,35TO39
1,4,2026,31754,ALL,ALL,MALE,40TO44
1,4,2026,26779,ALL,ALL,MALE,45TO49
1,4,2026,19331,ALL,ALL,MALE,5TO9
1,4,2026,22860,ALL,ALL,MALE,50TO54
1,4,2026,22478,ALL,ALL,MALE,55TO59
1,4,2026,21810,ALL,ALL,MALE,60TO64
1,4,2026,17073,ALL,ALL,MALE,65TO69
1,4,2026,11734,ALL,ALL,MALE,70TO74
1,4,2026,7811,ALL,ALL,MALE,75TO79
1,4,2026,4611,ALL,ALL,MALE,80TO84
1,4,2026,2588,ALL,ALL,MALE,85TO89
1,4,2026,1124,ALL,ALL,MALE,90TO94
1,4,2026,321,ALL,ALL,MALE,95TO99
1,4,2026,13314,ALL,ALL,FEMALE,0TO4
1,4,2026,21996,ALL,ALL,FEMALE,10TO14
1,4,2026,173,ALL,ALL,FEMALE,100UP
1,4,2026,23755,ALL,ALL,FEMALE,15TO19
1,4,2026,29146,ALL,ALL,FEMALE,20TO24
1,4,2026,36734,ALL,ALL,FEMALE,25TO29
1,4,2026,39818,ALL,ALL,FEMALE,30TO34
1,4,2026,36469,ALL,ALL,FEMALE,35TO39
1,4,2026,33079,ALL,ALL,FEMALE,40TO44
1,4,2026,30301,ALL,ALL,FEMALE,45TO49
1,4,2026,19069,ALL,ALL,FEMALE,5TO9
1,4,2026,26951,ALL,ALL,FEMALE,50TO54
1,4,2026,27921,ALL,ALL,FEMALE,55TO59
1,4,2026,27685,ALL,ALL,FEMALE,60TO64
1,4,2026,23029,ALL,ALL,FEMALE,65TO69
1,4,2026,17090,ALL,ALL,FEMALE,70TO74
1,4,2026,11981,ALL,ALL,FEMALE,75TO79
1,4,2026,7890,ALL,ALL,FEMALE,80TO84
1,4,2026,4450,ALL,ALL,FEMALE,85TO89
1,4,2026,1920,ALL,ALL,FEMALE,90TO94
1,4,2026,581,ALL,ALL,FEMALE,95TO99
1,13,2026,34016,ALL,ALL,MALE,0TO4
1,13,2026,39068,ALL,ALL,MALE,10TO14
1,13,2026,215,ALL,ALL,MALE,100UP
1,13,2026,39979,ALL,ALL,MALE,15TO19
1,13,2026,47118,ALL,ALL,MALE,20TO24
1,13,2026,58164,ALL,ALL,MALE,25TO29
1,13,2026,62470,ALL,ALL,MALE,30TO34
1,13,2026,54863,ALL,ALL,MALE,35TO39
1,13,2026,48704,ALL,ALL,MALE,40TO44
1,13,2026,43993,ALL,ALL,MALE,45TO49
1,13,2026,34051,ALL,ALL,MALE,5TO9
1,13,2026,38339,ALL,ALL,MALE,50TO54
1,13,2026,35760,ALL,ALL,MALE,55TO59
1,13,2026,33093,ALL,ALL,MALE,60TO64
1,13,2026,25982,ALL,ALL,MALE,65TO69
1,13,2026,18088,ALL,ALL,MALE,70TO74
1,13,2026,11939,ALL,ALL,MALE,75TO79
1,13,2026,7011,ALL,ALL,MALE,80TO84
1,13,2026,3500,ALL,ALL,MALE,85TO89
1,13,2026,1569,ALL,ALL,MALE,90TO94
1,13,2026,648,ALL,ALL,MALE,95TO99
1,13,2026,30894,ALL,ALL,FEMALE,0TO4
1,13,2026,38031,ALL,ALL,FEMALE,10TO14
1,13,2026,464,ALL,ALL,FEMALE,100UP
1,13,2026,39084,ALL,ALL,FEMALE,15TO19
1,13,2026,47867,ALL,ALL,FEMALE,20TO24
1,13,2026,59292,ALL,ALL,FEMALE,25TO29
1,13,2026,63191,ALL,ALL,FEMALE,30TO34
1,13,2026,57533,ALL,ALL,FEMALE,35TO39
1,13,2026,53812,ALL,ALL,FEMALE,40TO44
1,13,2026,51433,ALL,ALL,FEMALE,45TO49
1,13,2026,32987,ALL,ALL,FEMALE,5TO9
1,13,2026,46592,ALL,ALL,FEMALE,50TO54
1,13,2026,45652,ALL,ALL,FEMALE,55TO59
1,13,2026,43187,ALL,ALL,FEMALE,60TO64
1,13,2026,35844,ALL,ALL,FEMALE,65TO69
1,13,2026,26986,ALL,ALL,FEMALE,70TO74
1,13,2026,18687,ALL,ALL,FEMALE,75TO79
1,13,2026,11637,ALL,ALL,FEMALE,80TO84
1,13,2026,6054,ALL,ALL,FEMALE,85TO89
1,13,2026,2821,ALL,ALL,FEMALE,90TO94
1,13,2026,1033,ALL,ALL,FEMALE,95TO99
1,2,2026,5604,ALL,ALL,MALE,0TO4
1,2,2026,3626,ALL,ALL,MALE,10TO14
1,2,2026,12,ALL,ALL,MALE,100UP
1,2,2026,3809,ALL,ALL,MALE,15TO19
1,2,2026,4783,ALL,ALL,MALE,20TO24
1,2,2026,7639,ALL,ALL,MALE,25TO29
1,2,2026,8322,ALL,ALL,MALE,30TO34
1,2,2026,8045,ALL,ALL,MALE,35TO39
1,2,2026,7065,ALL,ALL,MALE,40TO44
1,2,2026,5792,ALL,ALL,MALE,45TO49
1,2,2026,4000,ALL,ALL,MALE,5TO9
1,2,2026,4927,ALL,ALL,MALE,50TO54
1,2,2026,4472,ALL,ALL,MALE,55TO59
1,2,2026,4158,ALL,ALL,MALE,60TO64
1,2,2026,3492,ALL,ALL,MALE,65TO69
1,2,2026,2478,ALL,ALL,MALE,70TO74
1,2,2026,1591,ALL,ALL,MALE,75TO79
1,2,2026,987,ALL,ALL,MALE,80TO84
1,2,2026,515,ALL,ALL,MALE,85TO89
1,2,2026,198,ALL,ALL,MALE,90TO94
1,2,2026,66,ALL,ALL,MALE,95TO99
1,2,2026,5327,ALL,ALL,FEMALE,0TO4
1,2,2026,3118,ALL,ALL,FEMALE,10TO14
1,2,2026,43,ALL,ALL,FEMALE,100UP
1,2,2026,3446,ALL,ALL,FEMALE,15TO19
1,2,2026,4702,ALL,ALL,FEMALE,20TO24
1,2,2026,6534,ALL,ALL,FEMALE,25TO29
1,2,2026,7353,ALL,ALL,FEMALE,30TO34
1,2,2026,6791,ALL,ALL,FEMALE,35TO39
1,2,2026,6091,ALL,ALL,FEMALE,40TO44
1,2,2026,5573,ALL,ALL,FEMALE,45TO49
