Date,Localidad,PM25_pred_mediana
2025-01-01,Barrios Unidos,15.201712347436983
2025-01-01,Ciudad Bolivar,21.949846395622032
2025-01-01,Engativa,17.449897165898882
2025-01-01,Fontibon,17.374677196659174
2025-01-01,Kennedy,18.055755509330574
2025-01-01,Puente Aranda,13.777980350780874
2025-01-01,San Cristobal,19.578679706024733
2025-01-01,Santa Fe,17.423295282459534
2025-01-01,Suba,15.387476589829143
2025-01-01,Tunjuelito,13.61079050495103
2025-01-01,Usme,19.570452474131336
2025-01-02,Barrios Unidos,17.839836903521764
2025-01-02,Ciudad Bolivar,23.283842781288776
2025-01-02,Engativa,19.88597195868631
2025-01-02,Fontibon,21.287343146674456
2025-01-02,Kennedy,21.987310691268917
2025-01-02,Puente Aranda,16.774587382118256
2025-01-02,San Cristobal,20.064816328664897
2025-01-02,Santa Fe,19.75777849745603
2025-01-02,Suba,18.637357429805906
2025-01-02,Tunjuelito,16.910215538022392
2025-01-02,Usme,20.603511777936202
2025-01-03,Barrios Unidos,19.370205497504813
2025-01-03,Ciudad Bolivar,23.68913118891119
2025-01-03,Engativa,20.52859842900694
2025-01-03,Fontibon,21.853846940164615
2025-01-03,Kennedy,22.58820372611133
2025-01-03,Puente Aranda,17.491337697265624
2025-01-03,San Cristobal,19.469261598017788
2025-01-03,Santa Fe,19.746072006529513
2025-01-03,Suba,19.199212138573756
2025-01-03,Tunjuelito,18.62190425479121
2025-01-03,Usme,20.590058616650158
2025-01-04,Barrios Unidos,19.630408979837735
2025-01-04,Ciudad Bolivar,20.8545772212971
2025-01-04,Engativa,17.60187174563098
2025-01-04,Fontibon,19.67346388216705
2025-01-04,Kennedy,20.45284663061844
2025-01-04,Puente Aranda,16.42702994516864
2025-01-04,San Cristobal,17.502586770124484
2025-01-04,Santa Fe,19.63338940140007
2025-01-04,Suba,16.978575996366565
2025-01-04,Tunjuelito,16.871980867750878
2025-01-04,Usme,18.042514315274126
2025-01-05,Barrios Unidos,19.09690232069983
2025-01-05,Ciudad Bolivar,16.89457578837941
2025-01-05,Engativa,14.322508678017853
2025-01-05,Fontibon,16.22677598539978
2025-01-05,Kennedy,16.534506567203643
2025-01-05,Puente Aranda,13.718231572871396
2025-01-05,San Cristobal,14.481808137278097
2025-01-05,Santa Fe,19.196141064972377
2025-01-05,Suba,13.65364745468834
2025-01-05,Tunjuelito,14.20098186137324
2025-01-05,Usme,14.820810048563079
2025-01-06,Barrios Unidos,17.810794154868823
2025-01-06,Ciudad Bolivar,19.966520077793
2025-01-06,Engativa,14.515399586493857
2025-01-06,Fontibon,19.54355264436048
2025-01-06,Kennedy,19.92307983644226
2025-01-06,Puente Aranda,14.509976767342309
2025-01-06,San Cristobal,14.90104874434666
2025-01-06,Santa Fe,17.63648302643088
2025-01-06,Suba,14.106619194270685
2025-01-06,Tunjuelito,15.68852668884062
2025-01-06,Usme,15.773956122165487
2025-01-07,Barrios Unidos,20.078391600603297
2025-01-07,Ciudad Bolivar,23.17375480974647
2025-01-07,Engativa,16.006325397369864
2025-01-07,Fontibon,22.88006458498979
2025-01-07,Kennedy,23.225061221903605
2025-01-07,Puente Aranda,16.938795849312875
