Date,Estacion,Localidad,PM25_pred,lat,lon
2025-01-01,Centro De Alto Rendimiento,Barrios Unidos,15.201712347436983,4.65847,-74.08396
2025-01-02,Centro De Alto Rendimiento,Barrios Unidos,17.839836903521764,4.65847,-74.08396
2025-01-03,Centro De Alto Rendimiento,Barrios Unidos,19.370205497504813,4.65847,-74.08396
2025-01-04,Centro De Alto Rendimiento,Barrios Unidos,19.630408979837735,4.65847,-74.08396
2025-01-05,Centro De Alto Rendimiento,Barrios Unidos,19.09690232069983,4.65847,-74.08396
2025-01-06,Centro De Alto Rendimiento,Barrios Unidos,17.810794154868823,4.65847,-74.08396
2025-01-07,Centro De Alto Rendimiento,Barrios Unidos,20.078391600603297,4.65847,-74.08396
2025-01-08,Centro De Alto Rendimiento,Barrios Unidos,20.82709043469477,4.65847,-74.08396
2025-01-09,Centro De Alto Rendimiento,Barrios Unidos,22.451127030663805,4.65847,-74.08396
2025-01-10,Centro De Alto Rendimiento,Barrios Unidos,23.782412893184446,4.65847,-74.08396
2025-01-11,Centro De Alto Rendimiento,Barrios Unidos,23.363306011822495,4.65847,-74.08396
2025-01-12,Centro De Alto Rendimiento,Barrios Unidos,21.91502199570447,4.65847,-74.08396
2025-01-13,Centro De Alto Rendimiento,Barrios Unidos,21.467384600389806,4.65847,-74.08396
2025-01-14,Centro De Alto Rendimiento,Barrios Unidos,22.440118078645096,4.65847,-74.08396
2025-01-15,Centro De Alto Rendimiento,Barrios Unidos,21.209232069208106,4.65847,-74.08396
2025-01-16,Centro De Alto Rendimiento,Barrios Unidos,21.202028944975474,4.65847,-74.08396
2025-01-17,Centro De Alto Rendimiento,Barrios Unidos,21.37886329588964,4.65847,-74.08396
2025-01-18,Centro De Alto Rendimiento,Barrios Unidos,21.515743952924844,4.65847,-74.08396
2025-01-19,Centro De Alto Rendimiento,Barrios Unidos,21.26775430157534,4.65847,-74.08396
2025-01-20,Centro De Alto Rendimiento,Barrios Unidos,21.00228770557865,4.65847,-74.08396
2025-01-21,Centro De Alto Rendimiento,Barrios Unidos,21.1864467363821,4.65847,-74.08396
2025-01-22,Centro De Alto Rendimiento,Barrios Unidos,20.9216145501866,4.65847,-74.08396
2025-01-23,Centro De Alto Rendimiento,Barrios Unidos,20.780651299413282,4.65847,-74.08396
2025-01-24,Centro De Alto Rendimiento,Barrios Unidos,20.49224235352495,4.65847,-74.08396
2025-01-25,Centro De Alto Rendimiento,Barrios Unidos,20.453738003735705,4.65847,-74.08396
2025-01-26,Centro De Alto Rendimiento,Barrios Unidos,20.453738003735705,4.65847,-74.08396
