source,lat,lon,date,PRECTOTCORR,PS,RH2M,T2M,WS2M
NASA_POWER,4.65847,-74.08396,2021-01-01,4.03,82.3,79.44,19.17,0.83
NASA_POWER,4.65847,-74.08396,2021-01-02,3.9,82.28,77.8,19.64,0.75
NASA_POWER,4.65847,-74.08396,2021-01-03,11.61,82.26,84.79,18.16,0.77
NASA_POWER,4.65847,-74.08396,2021-01-04,12.97,82.18,81.29,18.37,1.17
NASA_POWER,4.65847,-74.08396,2021-01-05,2.28,82.2,78.17,17.87,0.99
NASA_POWER,4.65847,-74.08396,2021-01-06,1.89,82.3,77.14,17.92,0.68
NASA_POWER,4.65847,-74.08396,2021-01-07,3.63,82.34,75.35,18.81,0.66
NASA_POWER,4.65847,-74.08396,2021-01-08,0.94,82.35,80.5,17.88,0.6
NASA_POWER,4.65847,-74.08396,2021-01-09,6.59,82.31,77.95,17.77,1.03
NASA_POWER,4.65847,-74.08396,2021-01-10,7.48,82.29,77.51,18.11,1.31
NASA_POWER,4.65847,-74.08396,2021-01-11,3.22,82.31,76.74,18.59,1.19
NASA_POWER,4.65847,-74.08396,2021-01-12,0.66,82.27,69.89,18.97,1.42
NASA_POWER,4.65847,-74.08396,2021-01-13,0.51,82.24,67.64,18.12,1.15
NASA_POWER,4.65847,-74.08396,2021-01-14,0.0,82.18,66.3,19.5,0.8
NASA_POWER,4.65847,-74.08396,2021-01-15,0.0,82.19,70.24,19.86,0.76
NASA_POWER,4.65847,-74.08396,2021-01-16,0.0,82.23,72.81,19.42,1.02
NASA_POWER,4.65847,-74.08396,2021-01-17,0.0,82.18,72.37,18.93,1.08
NASA_POWER,4.65847,-74.08396,2021-01-18,0.0,82.2,68.81,18.3,1.17
NASA_POWER,4.65847,-74.08396,2021-01-19,0.0,82.21,63.4,18.66,1.05
NASA_POWER,4.65847,-74.08396,2021-01-20,0.03,82.18,62.49,18.74,1.65
NASA_POWER,4.65847,-74.08396,2021-01-21,8.45,82.2,67.17,18.89,0.71
NASA_POWER,4.65847,-74.08396,2021-01-22,11.21,82.24,76.23,19.13,0.74
NASA_POWER,4.65847,-74.08396,2021-01-23,8.73,82.2,79.84,19.2,0.8
NASA_POWER,4.65847,-74.08396,2021-01-24,2.92,82.12,74.68,19.55,1.4
NASA_POWER,4.65847,-74.08396,2021-01-25,2.51,82.11,71.99,19.46,1.37
NASA_POWER,4.65847,-74.08396,2021-01-26,1.9,82.16,72.86,19.24,0.94
NASA_POWER,4.65847,-74.08396,2021-01-27,6.33,82.2,73.74,19.76,0.9
NASA_POWER,4.65847,-74.08396,2021-01-28,3.15,82.2,72.23,19.52,1.02
NASA_POWER,4.65847,-74.08396,2021-01-29,0.0,82.12,71.4,18.46,1.15
NASA_POWER,4.65847,-74.08396,2021-01-30,0.09,82.17,66.3,18.11,2.1
NASA_POWER,4.65847,-74.08396,2021-01-31,0.11,82.17,67.9,19.87,1.95
NASA_POWER,4.65847,-74.08396,2021-02-01,6.66,82.15,72.59,20.34,1.01
NASA_POWER,4.65847,-74.08396,2021-02-02,2.2,82.16,71.95,19.84,1.22
NASA_POWER,4.65847,-74.08396,2021-02-03,0.26,82.19,64.62,20.24,1.78
NASA_POWER,4.65847,-74.08396,2021-02-04,2.4,82.26,68.06,20.64,1.34
NASA_POWER,4.65847,-74.08396,2021-02-05,3.36,82.26,72.76,20.9,0.79
NASA_POWER,4.65847,-74.08396,2021-02-06,22.83,82.31,80.98,18.45,1.07
NASA_POWER,4.65847,-74.08396,2021-02-07,0.48,82.24,73.3,20.62,0.88
NASA_POWER,4.65847,-74.08396,2021-02-08,1.54,82.22,74.29,19.94,0.91
NASA_POWER,4.65847,-74.08396,2021-02-09,1.65,82.23,75.55,19.86,0.79
NASA_POWER,4.65847,-74.08396,2021-02-10,2.67,82.22,79.87,19.0,1.03
NASA_POWER,4.65847,-74.08396,2021-02-11,2.4,82.15,76.81,19.06,1.2
NASA_POWER,4.65847,-74.08396,2021-02-12,0.46,82.15,72.39,19.88,0.82
NASA_POWER,4.65847,-74.08396,2021-02-13,0.06,82.21,70.06,20.02,0.8
NASA_POWER,4.65847,-74.08396,2021-02-14,0.03,82.3,78.2,19.51,0.74
NASA_POWER,4.65847,-74.08396,2021-02-15,20.33,82.37,75.01,19.48,1.05
NASA_POWER,4.65847,-74.08396,2021-02-16,3.64,82.32,72.18,18.53,1.23
NASA_POWER,4.65847,-74.08396,2021-02-17,0.01,82.26,74.48,19.12,1.4
NASA_POWER,4.65847,-74.08396,2021-02-18,0.16,82.33,80.05,18.47,1.13
NASA_POWER,4.65847,-74.08396,2021-02-19,1.62,82.38,79.63,17.8,1.13
NASA_POWER,4.65847,-74.08396,2021-02-20,1.87,82.35,76.42,18.51,1.16
NASA_POWER,4.65847,-74.08396,2021-02-21,0.0,82.32,76.65,18.55,1.0
NASA_POWER,4.65847,-74.08396,2021-02-22,0.13,82.22,76.1,19.33,0.91
NASA_POWER,4.65847,-74.08396,2021-02-23,0.07,82.24,70.59,20.0,0.9
NASA_POWER,4.65847,-74.08396,2021-02-24,6.08,82.23,72.45,20.46,1.12
NASA_POWER,4.65847,-74.08396,2021-02-25,2.6,82.16,74.46,20.49,1.13
NASA_POWER,4.65847,-74.08396,2021-02-26,0.83,82.1,71.99,20.83,0.91
NASA_POWER,4.65847,-74.08396,2021-02-27,9.98,82.13,76.92,19.7,0.96
NASA_POWER,4.65847,-74.08396,2021-02-28,4.06,82.07,76.15,19.81,0.83
NASA_POWER,4.65847,-74.08396,2021-03-01,4.36,82.07,85.54,18.15,0.91
NASA_POWER,4.65847,-74.08396,2021-03-02,9.49,82.15,80.46,18.31,1.14
NASA_POWER,4.65847,-74.08396,2021-03-03,1.84,82.26,76.06,18.0,0.83
NASA_POWER,4.65847,-74.08396,2021-03-04,0.36,82.36,78.58,17.53,0.67
NASA_POWER,4.65847,-74.08396,2021-03-05,0.0,82.23,78.89,18.66,0.74
NASA_POWER,4.65847,-74.08396,2021-03-06,0.0,82.21,72.78,19.91,0.68
NASA_POWER,4.65847,-74.08396,2021-03-07,22.48,82.25,77.1,19.51,1.08
NASA_POWER,4.65847,-74.08396,2021-03-08,9.31,82.32,73.87,19.41,0.94
NASA_POWER,4.65847,-74.08396,2021-03-09,0.25,82.28,73.79,19.74,0.93
NASA_POWER,4.65847,-74.08396,2021-03-10,0.07,82.3,87.62,17.85,0.87
NASA_POWER,4.65847,-74.08396,2021-03-11,0.02,82.35,85.27,17.38,1.17
NASA_POWER,4.65847,-74.08396,2021-03-12,0.88,82.39,83.26,17.71,1.15
NASA_POWER,4.65847,-74.08396,2021-03-13,4.47,82.41,78.71,18.39,0.99
NASA_POWER,4.65847,-74.08396,2021-03-14,2.09,82.35,83.64,17.82,0.98
NASA_POWER,4.65847,-74.08396,2021-03-15,0.95,82.29,83.06,17.78,0.81
NASA_POWER,4.65847,-74.08396,2021-03-16,0.2,82.28,81.57,18.26,0.42
NASA_POWER,4.65847,-74.08396,2021-03-17,2.12,82.2,80.95,18.72,0.91
NASA_POWER,4.65847,-74.08396,2021-03-18,0.33,82.24,79.23,18.96,0.86
NASA_POWER,4.65847,-74.08396,2021-03-19,1.02,82.27,77.63,19.16,0.96
NASA_POWER,4.65847,-74.08396,2021-03-20,2.78,82.31,83.62,18.21,0.99
NASA_POWER,4.65847,-74.08396,2021-03-21,15.18,82.24,75.5,19.21,0.88
NASA_POWER,4.65847,-74.08396,2021-03-22,10.21,82.3,79.23,18.88,0.91
NASA_POWER,4.65847,-74.08396,2021-03-23,0.0,82.34,79.93,18.3,0.53
NASA_POWER,4.65847,-74.08396,2021-03-24,2.63,82.32,84.61,17.99,0.93
NASA_POWER,4.65847,-74.08396,2021-03-25,0.87,82.3,79.54,18.96,0.84
NASA_POWER,4.65847,-74.08396,2021-03-26,2.59,82.25,77.76,19.24,0.88
NASA_POWER,4.65847,-74.08396,2021-03-27,1.11,82.23,83.93,18.02,0.81
NASA_POWER,4.65847,-74.08396,2021-03-28,14.71,82.14,74.56,19.79,1.29
NASA_POWER,4.65847,-74.08396,2021-03-29,12.99,82.16,73.13,20.03,1.55
NASA_POWER,4.65847,-74.08396,2021-03-30,2.03,82.19,75.61,19.86,1.16
NASA_POWER,4.65847,-74.08396,2021-03-31,6.78,82.11,78.73,19.8,1.08
NASA_POWER,4.65847,-74.08396,2021-04-01,2.4,82.04,77.3,20.21,1.14
NASA_POWER,4.65847,-74.08396,2021-04-02,8.64,82.12,77.25,19.58,1.25
NASA_POWER,4.65847,-74.08396,2021-04-03,3.1,82.23,79.61,19.15,0.89
NASA_POWER,4.65847,-74.08396,2021-04-04,0.18,82.18,76.95,19.79,1.11
NASA_POWER,4.65847,-74.08396,2021-04-05,0.0,82.18,76.73,19.67,1.36
NASA_POWER,4.65847,-74.08396,2021-04-06,10.36,82.25,80.49,18.32,1.12
NASA_POWER,4.65847,-74.08396,2021-04-07,0.13,82.28,76.91,18.35,1.2
NASA_POWER,4.65847,-74.08396,2021-04-08,0.01,82.27,74.94,19.21,1.04
NASA_POWER,4.65847,-74.08396,2021-04-09,2.75,82.33,79.92,18.82,0.47
NASA_POWER,4.65847,-74.08396,2021-04-10,0.32,82.27,78.35,19.4,0.77
NASA_POWER,4.65847,-74.08396,2021-04-11,0.42,82.22,75.8,19.43,0.91
NASA_POWER,4.65847,-74.08396,2021-04-12,40.87,82.24,79.38,19.17,1.36
NASA_POWER,4.65847,-74.08396,2021-04-13,1.35,82.28,77.98,19.06,1.6
NASA_POWER,4.65847,-74.08396,2021-04-14,0.21,82.29,80.12,19.27,1.18
NASA_POWER,4.65847,-74.08396,2021-04-15,7.95,82.24,79.09,19.07,0.95
NASA_POWER,4.65847,-74.08396,2021-04-16,4.04,82.26,78.72,19.39,0.63
NASA_POWER,4.65847,-74.08396,2021-04-17,15.21,82.29,79.83,19.53,0.9
NASA_POWER,4.65847,-74.08396,2021-04-18,22.56,82.32,83.37,19.09,0.81
NASA_POWER,4.65847,-74.08396,2021-04-19,24.76,82.4,76.05,19.22,0.86
NASA_POWER,4.65847,-74.08396,2021-04-20,4.21,82.39,75.1,19.38,0.93
NASA_POWER,4.65847,-74.08396,2021-04-21,5.7,82.39,75.71,19.55,0.89
NASA_POWER,4.65847,-74.08396,2021-04-22,2.18,82.28,73.75,20.33,0.74
NASA_POWER,4.65847,-74.08396,2021-04-23,0.11,82.33,78.66,19.52,0.94
NASA_POWER,4.65847,-74.08396,2021-04-24,0.72,82.31,80.31,20.04,0.71
NASA_POWER,4.65847,-74.08396,2021-04-25,2.8,82.29,80.87,19.49,0.74
NASA_POWER,4.65847,-74.08396,2021-04-26,4.72,82.24,76.23,20.28,0.74
NASA_POWER,4.65847,-74.08396,2021-04-27,3.47,82.26,85.21,18.77,0.7
NASA_POWER,4.65847,-74.08396,2021-04-28,1.13,82.33,87.78,17.97,0.74
NASA_POWER,4.65847,-74.08396,2021-04-29,3.81,82.39,88.49,17.96,0.78
NASA_POWER,4.65847,-74.08396,2021-04-30,2.61,82.49,88.59,16.99,0.87
NASA_POWER,4.65847,-74.08396,2021-05-01,0.28,82.46,82.67,17.85,0.83
NASA_POWER,4.65847,-74.08396,2021-05-02,0.92,82.51,87.48,17.1,0.63
NASA_POWER,4.65847,-74.08396,2021-05-03,0.04,82.51,82.14,17.98,0.92
NASA_POWER,4.65847,-74.08396,2021-05-04,0.94,82.5,83.69,18.37,1.17
NASA_POWER,4.65847,-74.08396,2021-05-05,0.18,82.5,83.61,18.17,0.59
NASA_POWER,4.65847,-74.08396,2021-05-06,0.46,82.44,81.69,18.32,0.71
NASA_POWER,4.65847,-74.08396,2021-05-07,0.34,82.44,82.44,18.12,0.93
NASA_POWER,4.65847,-74.08396,2021-05-08,0.94,82.44,82.54,18.17,0.99
NASA_POWER,4.65847,-74.08396,2021-05-09,0.26,82.37,79.62,19.01,1.04
NASA_POWER,4.65847,-74.08396,2021-05-10,0.06,82.3,76.98,19.21,1.66
